year,pa_code,pa_area,pa_cropland,pa_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1994,1002,5603.45019597305,306.0444537050789,.054617144,390097.4044291526,369089.1444374323,21008.2637013942,390097.4044291526,369089.1444374323,21008.2637013942,75906.54423940182,32764.0260444954,43142.5201305151,19117.49566929042,0,19117.49566929042,42644.34286817908,0,42644.34286817908,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,336325.1124038696,336325.1124038696,0,34654.79396598041,32764.0260444954,1890.767921485007,.72255486,1,.52191305,,.5,,
1995,1002,5603.45019597305,306.0444537050789,.054617144,387858.9617583752,367380.4268493652,20478.53636598587,387858.9617583752,367380.4268493652,20478.53636598587,75906.54423940182,32764.0260444954,43142.5201305151,18587.76842542365,0,18587.76842542365,42644.34286817908,0,42644.34286817908,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,334616.3949378133,334616.3949378133,0,34654.79396598041,32764.0260444954,1890.767921485007,1,1,1,,1,,
1996,1002,5603.45019597305,306.0444537050789,.054617144,397582.7402005494,373346.574549675,24236.16088464856,397582.7402005494,373346.574549675,24236.16088464856,75906.54423940182,32764.0260444954,43142.5201305151,22345.39306615666,0,22345.39306615666,42644.34286817908,0,42644.34286817908,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,340582.5425159931,340582.5425159931,0,34654.79396598041,32764.0260444954,1890.767921485007,1,1,1,,1,,
1997,1002,5603.45019597305,306.0444537050789,.054617144,397306.3680235893,375982.4733077288,21323.90188713372,397306.3680235893,375982.4733077288,21323.90188713372,75906.54423940182,32764.0260444954,43142.5201305151,19433.1338550169,0,19433.1338550169,42644.34286817908,0,42644.34286817908,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,343218.4100241661,343218.4100241661,0,34654.79396598041,32764.0260444954,1890.767921485007,1,1,1,,1,,
1998,1002,5603.45019597305,306.0444537050789,.054617144,387969.885197185,372127.1923437119,15842.67881187052,387969.885197185,372127.1923437119,15842.67881187052,75906.54423940182,32764.0260444954,43142.5201305151,13951.9108713083,0,13951.9108713083,42644.34286817908,0,42644.34286817908,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,339363.1603101492,339363.1603101492,0,34654.79396598041,32764.0260444954,1890.767921485007,1,1,1,,1,,
1999,1002,5603.45019597305,306.0444537050789,.054617144,392094.3685221225,367087.2213853598,25007.15155167878,392094.3685221225,367087.2213853598,25007.15155167878,75906.54423940182,32764.0260444954,43142.5201305151,23116.38370266743,0,23116.38370266743,42644.34286817908,0,42644.34286817908,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,334323.1893517375,334323.1893517375,0,34654.79396598041,32764.0260444954,1890.767921485007,1,1,1,,1,,
2000,1002,5603.45019597305,306.0444537050789,.054617144,407534.9622622207,378219.1430009604,29315.82447154075,407534.9622622207,378219.1430009604,29315.82447154075,75906.54423940182,32764.0260444954,43142.5201305151,27425.05656149983,0,27425.05656149983,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,345455.1109672785,345455.1109672785,0,34654.79396598041,32764.0260444954,1890.767921485007,.94451094,1,.90438259,,.89999998,,
2001,1002,5603.45019597305,306.0444537050789,.054617144,389303.0196494535,365525.1222457886,23777.89188403636,389303.0196494535,365525.1222457886,23777.89188403636,75906.54423940182,32764.0260444954,43142.5201305151,21887.12397399545,0,21887.12397399545,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,332761.0590842366,332761.0590842366,0,34654.79396598041,32764.0260444954,1890.767921485007,.6615169,1,.41673389,,.38999999,,
2002,1002,5603.45019597305,306.0444537050789,.054617144,417734.206784822,369065.3776735067,48668.828142263,417734.206784822,369065.3776735067,48668.828142263,75906.54423940182,32764.0260444954,43142.5201305151,46778.06023222208,0,46778.06023222208,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,336301.3457618952,336301.3457618952,0,34654.79396598041,32764.0260444954,1890.767921485007,.83353293,1,.71314782,,.69999999,,
2003,1002,5603.45019597305,306.0444537050789,.054617144,375138.821839191,335799.3718500733,39339.44510445744,375138.821839191,335799.3718500733,39339.44510445744,75906.54423940182,32764.0260444954,43142.5201305151,37448.67719441652,0,37448.67719441652,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,303035.339938581,303035.339938581,0,34654.79396598041,32764.0260444954,1890.767921485007,.94451094,1,.90438259,,.89999998,,
2004,1002,5603.45019597305,306.0444537050789,.054617144,415484.6763397232,357997.8488889933,57486.8384982124,415484.6763397232,357997.8488889933,57486.8384982124,75906.54423940182,32764.0260444954,43142.5201305151,55596.07058817148,0,55596.07058817148,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,325233.7857275009,325233.7857275009,0,34654.79396598041,32764.0260444954,1890.767921485007,.8057884,1,.66533911,,.64999998,,
2005,1002,5603.45019597305,306.0444537050789,.054617144,387348.6715393737,346255.7183009386,41092.94605857879,387348.6715393737,346255.7183009386,41092.94605857879,75906.54423940182,32764.0260444954,43142.5201305151,39202.17814853787,0,39202.17814853787,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,313491.6862673759,313491.6862673759,0,34654.79396598041,32764.0260444954,1890.767921485007,.94451094,1,.90438259,,.89999998,,
2006,1002,5603.45019597305,306.0444537050789,.054617144,411733.6763398424,368628.5363137722,43105.15215823799,411733.6763398424,368628.5363137722,43105.15215823799,75906.54423940182,32764.0260444954,43142.5201305151,41214.38424819708,0,41214.38424819708,68908.39520177245,0,68908.39520177245,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,335864.5044021606,335864.5044021606,0,34654.79396598041,32764.0260444954,1890.767921485007,1,1,1,,1,,
